fighter,total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,Height_cms,Reach_cms,Weight_lbs,age
Matt Dwyer,514.25,5,0,0,1,1,1,2,0,0,0,0,1,0,0,Orthodox,193.04,193.04,170,26
Matt Hughes,1053.765625,21,5,2,0,5,7,1,0,0,0,2,3,0,2,Switch,175.26,185.42,170,30
Matt Serra,894.3242188,25,1,0,1,2,5,4,0,1,1,2,0,1,0,Orthodox,167.64,172.72,170,32
Matthew Riddle,900,9,0,3,0,3,3,0,0,0,0,3,0,0,0,Southpaw,185.42,193.04,170,23
Matthew Semelsberger,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Switch,185.42,190.5,170,28
Max Griffin,896.0625,25,0,0,1,1,3,6,0,1,0,1,1,0,0,Orthodox,180.34,193.04,170,34
Melvin Guillard,475,2,0,1,0,1,1,0,0,0,0,0,0,0,1,Orthodox,175.26,180.34,155,22
Michael Chiesa,765.4797363,30,1,2,0,3,10,4,0,0,0,4,0,6,0,Southpaw,185.42,190.5,170,33
Michael Graves,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,177.8,180.34,170,25
Michel Pereira,762.625,10,0,1,0,1,2,2,0,0,0,0,1,1,0,Orthodox,185.42,185.42,170,27
Michel Prazeres,823.375,31,0,0,1,7,9,2,0,0,3,4,0,2,0,Orthodox,167.64,170.18,170,37
Mickey Gall,668.421875,13,0,3,0,3,5,2,0,0,0,1,0,4,0,Switch,187.96,187.96,170,28
Miguel Baeza,452,2,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,187.96,187.96,170,27
Mike Guymon,583.5,4,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,182.88,187.96,170,36
Mike Jackson,45,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,187.96,,170,33
Mike Perry,826.484375,19,0,2,0,2,5,3,0,0,1,0,4,0,0,Orthodox,177.8,180.34,170,27
Mike Pierce,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,172.72,180.34,170,29
Mike Pyle,834.40625,15,0,0,1,3,4,2,0,0,0,2,0,2,0,Orthodox,182.88,187.96,170,35
Mike Rhodes,900,6,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,185.42,187.96,170,25
Mike Stumpf,232,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,177.8,,170,26
Mike Swick,850.4375,16,0,5,0,5,7,1,0,1,0,2,2,2,0,Orthodox,185.42,195.58,170,29
Mikey Burnett,585,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,167.64,,170,24
Mounir Lazzez,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,185.42,193.04,170,33
Muslim Salikhov,648.25,8,0,0,1,3,3,1,0,0,0,1,2,0,0,Orthodox,180.34,177.8,170,36
Nah-Shon Burrell,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,180.34,,170,23
Nate Diaz,1086.575785,57,2,5,0,5,14,9,0,0,1,2,2,9,0,Southpaw,182.88,193.04,170,34
Nate Marquardt,776.215332,32,1,4,0,4,10,4,0,0,0,4,4,2,0,Orthodox,182.88,187.96,185,33
Nathan Coy,533,4,0,0,1,1,1,1,0,0,0,1,0,0,0,Southpaw,177.8,175.26,170,38
Neil Magny,1103.327393,36,0,1,0,7,10,3,0,0,1,5,3,1,0,Orthodox,190.5,203.2,170,28
Nicholas Musoke,855.4375,13,0,2,0,2,3,2,0,0,0,2,0,1,0,Orthodox,182.88,190.5,170,31
Nick Catone,777.375,16,0,1,0,2,3,3,0,0,1,1,0,1,0,Southpaw,182.88,182.88,185,31
Nick Diaz,1126.26709,32,1,2,0,3,7,5,0,0,0,1,4,2,0,Southpaw,185.42,193.04,185,29
Nick Osipczak,806.625,10,0,2,0,2,2,2,0,0,0,0,1,1,0,Orthodox,187.96,193.04,170,25
Nick Thompson,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,185.42,187.96,170,24
Nicolas Dalby,900,9,0,1,0,1,1,2,0,0,1,0,0,0,0,Orthodox,180.34,187.96,170,31
Niko Price,524.6855469,18,0,1,0,2,6,5,0,0,0,0,4,2,0,Orthodox,182.88,193.04,170,30
Nordine Taleb,900,9,0,3,0,3,3,0,0,0,1,2,0,0,0,Orthodox,185.42,187.96,170,34
Oliver Enkamp,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Switch,182.88,195.58,170,26
Omari Akhmedov,792.484375,15,0,1,0,2,4,3,0,0,0,2,2,0,0,Orthodox,182.88,185.42,185,29
Papy Abedi,242.5,2,0,0,2,0,0,2,0,0,0,0,0,0,0,Southpaw,180.34,,185,34
Pascal Krauss,900,6,0,1,0,1,1,1,0,0,0,1,0,0,0,Orthodox,185.42,,170,25
Pat Miletich,1125.25,9,3,4,0,4,4,0,0,0,2,1,0,1,0,Orthodox,177.8,,170,31
Patrick Cote,871.922226,42,2,0,4,4,8,9,0,0,1,4,2,0,0,Orthodox,180.34,190.5,170,35
Paul Bradley,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,,170,28
Paul Daley,151,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,175.26,193.04,170,26
Paul Felder,468.6425781,24,0,2,0,3,7,3,0,0,1,1,4,1,0,Orthodox,180.34,177.8,155,34
Paul Kelly,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,175.26,177.8,155,24
Paul Taylor,871.59375,16,0,1,0,1,3,3,0,0,1,1,1,0,0,Orthodox,182.88,182.88,155,29
Paulo Thiago,858.828125,18,0,1,0,2,4,3,0,0,0,2,1,1,0,Orthodox,180.34,187.96,170,31
Pawel Pawlak,900,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,182.88,185.42,170,26
Pete Sell,783.21875,15,0,1,0,1,2,4,0,0,0,1,0,1,0,Orthodox,180.34,190.5,170,26
Pete Spratt,381.1875,9,0,1,0,1,3,3,0,0,0,0,0,3,0,Orthodox,175.26,,170,36
Peter Sobotta,900,6,0,0,2,0,0,2,0,0,0,0,0,0,0,Southpaw,182.88,190.5,170,23
Phil Baroni,761.078125,17,0,1,0,2,3,5,0,0,0,1,2,0,0,Orthodox,175.26,182.88,170,33
Rafael Dos Anjos,1384.270872,74,4,0,2,5,17,9,0,0,0,10,4,3,0,Southpaw,172.72,177.8,155,34
Ramazan Emeev,900,15,0,3,0,3,4,1,0,0,0,4,0,0,0,Southpaw,177.8,193.04,170,33
Randy Brown,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,190.5,198.12,170,25
Renato Verissimo,900,6,0,1,0,1,1,1,0,0,0,1,0,0,0,Orthodox,185.42,,170,31
Rhys McKee,189,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,187.96,198.12,170,25
Ricardo Almeida,822.203125,16,0,0,1,2,4,3,0,0,0,2,0,2,0,Orthodox,182.88,187.96,170,33
Ricardo Funch,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,177.8,187.96,170,29
Rich Attonito,858.125,11,0,2,0,2,3,1,0,0,0,2,1,0,0,Orthodox,177.8,182.88,170,34
Rich Clementi,765.5,10,0,0,2,1,1,3,0,0,0,0,0,1,0,Southpaw,175.26,182.88,155,31
Richard Walsh,900,6,0,1,0,1,1,1,0,0,0,1,0,0,0,Orthodox,182.88,185.42,170,26
Rick Story,1065.896561,46,0,0,1,6,11,6,0,0,3,4,2,2,0,Southpaw,175.26,180.34,170,31
Ricky Rainey,552,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Switch,185.42,195.58,170,35
Roan Carneiro,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,180.34,193.04,170,29
Robbie Lawler,1403.656647,48,4,3,0,5,12,4,0,0,3,3,6,0,0,Southpaw,180.34,187.96,170,34
Robert Whittaker,900,3,1,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,182.88,185.42,185,22
Roman Mitichyan,23,1,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,177.8,,170,29
Rory MacDonald,1023.589844,33,1,1,0,5,9,3,0,0,0,5,3,1,0,Orthodox,182.88,193.04,170,26
Rory Markham,97,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,182.88,180.34,170,26
Ross Pearson,885.1338234,51,1,3,0,3,11,9,0,0,2,4,4,0,1,Orthodox,172.72,175.26,155,31
Ross Pointon,44,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,172.72,,170,26
Rostem Akman,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Switch,177.8,182.88,170,27
Rousimar Palhares,258.5976563,19,0,1,0,3,7,4,0,0,0,2,0,5,0,Orthodox,172.72,180.34,170,33
Rustam Khabilov,899.409668,33,0,3,0,6,9,3,0,0,1,6,1,0,1,Orthodox,172.72,185.42,155,33
Ryan LaFlare,1200,17,0,4,0,4,4,1,0,0,0,4,0,0,0,Southpaw,185.42,187.96,170,32
Ryan Thomas,448,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,,170,24
Ryo Chonan,900,9,0,0,1,1,1,2,0,0,1,0,0,0,0,Orthodox,175.26,177.8,170,32
Sabah Homasi,476,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,182.88,170,29
Sage Northcutt,802.65625,16,0,2,0,2,5,2,0,0,0,3,1,1,0,Orthodox,182.88,180.34,170,22
Sai Wang,900,3,1,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,182.88,,170,28
Salim Touahri,900,6,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,29
Sam Stout,891.5191345,47,0,1,0,2,9,8,0,0,3,5,1,0,0,Orthodox,175.26,177.8,155,29
Sammy Morgan,21,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,,170,24
Santiago Ponzinibbio,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,27
Sean Brady,900,6,0,2,0,2,2,0,0,0,0,2,0,0,0,Orthodox,177.8,182.88,170,27
Sean Pierson,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Southpaw,182.88,193.04,170,35
Sean Sherk,999.875,11,1,3,0,3,3,1,0,0,0,1,0,1,1,Orthodox,167.64,170.18,155,32
Sean Spencer,894.78125,18,0,0,1,2,3,3,0,0,1,2,0,0,0,Orthodox,177.8,187.96,170,28
Sean Strickland,892.9140625,22,0,2,0,3,6,2,0,0,2,2,1,1,0,Orthodox,185.42,193.04,185,27
Sergey Khandozhko,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,185.42,187.96,170,27
Sergio Moraes,900,3,1,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,182.88,170,30
Seth Baczynski,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,190.5,190.5,170,29
Sheldon Westcott,740.5,5,1,0,2,0,0,2,0,0,0,0,0,0,0,Southpaw,185.42,180.34,170,31
Shinsho Anzai,676,7,0,0,1,2,2,1,0,0,0,1,0,0,1,Orthodox,170.18,177.8,170,32
Shonie Carter,745.5,7,0,3,0,3,3,0,0,0,0,2,1,0,0,Southpaw,177.8,,170,29
Simeon Thoresen,456,2,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,185.42,200.66,170,28
Siyar Bahadurzada,722.28125,17,0,1,0,3,4,3,0,0,0,0,3,1,0,Orthodox,180.34,185.42,170,35
Song Kenan,750,9,0,2,0,2,3,1,0,0,0,1,2,0,0,Orthodox,182.88,180.34,170,29
Spencer Fisher,583,2,0,1,0,1,1,0,0,0,0,0,0,1,0,Southpaw,170.18,172.72,155,29
Stephen Thompson,1354.293945,30,2,1,0,7,8,3,0,0,0,3,5,0,0,Orthodox,182.88,190.5,170,34
Steve Berger,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,,170,28
Steve Bruno,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,,170,27
Steve Kennedy,177,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,,170,32
Sultan Aliev,565.5,6,0,0,1,1,1,2,0,0,1,0,0,0,0,Orthodox,180.34,187.96,170,34
Takashi Sato,546.5,5,0,1,0,1,1,1,0,0,0,0,1,0,0,Southpaw,177.8,185.42,170,30
Takenori Sato,52,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,177.8,,170,29
Tamdan McCrory,680.75,7,0,1,0,1,2,1,0,0,0,1,0,1,0,Switch,193.04,193.04,185,22
Tarec Saffiedine,1500,5,0,1,0,1,1,0,0,0,0,1,0,0,0,Switch,177.8,177.8,170,28
Thiago Alves,1075.808594,27,1,0,1,7,9,3,0,0,0,2,6,0,1,Orthodox,175.26,177.8,170,26
Thiago Perpetuo,426,4,0,1,0,1,1,1,0,0,0,0,1,0,0,Orthodox,177.8,,170,26
Tiki Ghosn,488,4,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,177.8,,170,25
Tim Means,886.96875,19,0,2,0,2,4,3,0,0,1,2,1,0,0,Orthodox,187.96,190.5,170,31
TJ Grant,900,3,0,1,0,1,1,0,0,0,1,0,0,0,0,Orthodox,177.8,182.88,155,25
TJ Waldburger,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,180.34,190.5,170,22
Tom Breese,593.75,5,0,3,0,3,3,0,0,0,0,1,2,0,0,Southpaw,190.5,185.42,185,24
Tommy Speer,121,1,1,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,180.34,170,23
Tony DeSouza,482.5,4,0,2,0,2,2,0,0,0,0,1,0,1,0,Southpaw,182.88,177.8,170,27
Troy Mandaloniz,260,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,175.26,,170,29
Tyron Woodley,1364.869629,42,6,1,0,3,9,5,0,1,1,1,5,1,0,Orthodox,175.26,187.96,170,38
Vicente Luque,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,190.5,170,24
Vik Grujic,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,185.42,170,37
Viscardi Andrade,699,7,0,1,0,1,2,1,0,0,0,1,1,0,0,Orthodox,180.34,190.5,170,32
Wagner Silva,366,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,,170,27
War Machine,721,3,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,180.34,,170,26
Warlley Alves,833.921875,18,1,4,0,4,5,2,0,0,0,2,0,3,0,Orthodox,180.34,182.88,170,27
Wendell Oliveira Marques,80,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,,170,31
William Macario,750.75,8,1,0,1,1,1,2,0,0,0,1,0,0,0,Orthodox,180.34,190.5,170,23
Yan Cabral,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,180.34,185.42,155,30
Yancy Medeiros,730.5859375,13,0,0,3,2,3,5,0,0,1,0,0,2,0,Orthodox,177.8,190.5,155,29
Yoshihiro Akiyama,800.875,16,0,1,0,1,2,4,0,0,1,1,0,0,0,Orthodox,177.8,190.5,170,40
Yoshiyuki Yoshida,119.75,3,0,1,0,1,2,1,0,0,0,0,0,2,0,Southpaw,180.34,177.8,170,35
Yuri Villefort,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,22
Yushin Okami,600.3717155,52,1,4,0,4,14,6,0,0,2,7,4,0,1,Southpaw,187.96,190.5,170,37
Zak Cummings,753.34375,13,0,2,0,2,4,2,0,0,0,2,1,1,0,Southpaw,182.88,190.5,185,32
Zak Ottow,900,9,0,1,0,1,2,1,0,0,2,0,0,0,0,Orthodox,180.34,182.88,170,30
Zelim Imadaev,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,193.04,170,24
